Tissue Name;Density (kg/m3);Heat Capacity (J/kg/°C);Thermal Conductivity (W/m/°C);Heat Transfer Rate (ml/min/kg);Heat Generation Rate (W/kg);"LF Conductivity ";Magnetic Conductivity [S/m];Magnetic Relative Permeability;Tissue Speed of Sound [m/s];Tissue Dependent Parameter of the Non Linearity Prameter B/A;Attenuation Constant - α0 [Np/m/MHz];Attenuation Constant - b;1.5T- T1 [ms];1.5T- T2 [ms];3.0T- T1 [ms];3.0T- T2 [ms]
Thalamus;1044,50;3695,8;0,547;684,5;13,92824495;0,239148736;0;1;1500;;1,2;1,21;1013,078431;111,5333333;1387,16129;73
Thymus;1023,00;3043,416667;0,335725;247,088;3,826625468;0,175360842;0;1;1513,09375;9,1406;11,199;1,0431;;;;
Thyroid Gland;1050,00;3609;0,5185;5624,285714;87,10271221;0,4811;0;1;1500;;15,492;1;;;;
Tongue;1090,40;3421,2;0,49496875;78;1,20797767;0,355286874;0;1;1588,430556;;2,9012;1,032;;;;
Tooth;2180,00;1255;0,59;0;0;0,003503994;0;1;4565,878205;;64,444;1;;;;
Tooth (Dentine);2063,00;1338,333333;0,516666667;0;0;0,003503994;0;1;3639,833333;;51,11111;1;;;;
Tooth (Enamel);2958,33;711;0,7915;0;0;0,003503994;0;1;5491,923077;;77,77778;1;;;;
Trachea;1080,00;3568;0,487;35;0,542041262;0,341986667;0;1;1639,6;;0,4397;1;1045,5;37,3375;1201;44,025
Trachea Lumen;1,16;1003,666667;0,027381779;0;0;0;0;1;343;;0,039143947;2;;;0;
Ureter\Urethra;1101,50;3306;0,462;188;2,911535922;0,231971605;0;1;1569,142857;;7,02;1;1434,5;163,9875;1498,25;
Urinary Bladder Wall;1086,00;3581,333333;0,52225;78;1,20797767;0,408454546;0;1;1500;;5,7429;1;;;;
Urine;1023,61;4178;0,56;0;0;2,948717949;0;1;1537,666667;6,14;0,0706;1,645;;;;
Uterus;1104,50;3676;0,5265;457,5;7,085253641;0,390842308;0;1;1629;;8,1157;1;1309;117;1514;79
Vagina;1088,00;3654,5;0,542;98;1,517715534;0,163535918;0;1;1500;;5,7429;1;1135;58;1616;83
Vertebrae;1908,00;1312,833333;0,32;10;0,154868932;0,003503994;0;1;3514,857143;;54,553;1;;;;
Water;994,04;4178;0,6045;0;0;0,00162;0;1;1482,3;4,96;0,025328436;1;;;;
